method,variant,seed,source,metric,value,notes
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.4990962743759155,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,gate_std,0.018309244886040688,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d1,0.4773333668708801,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d2,0.17433500289916992,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d3,0.1755390763282776,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,branch_weight_mean_d4,0.17279255390167236,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,small_dilation_weight,0.65166836977005,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,large_dilation_weight,0.34833163022994995,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_gamma,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_mean,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_std,0.0,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_min,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_mask_max,0.5,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_local_high_mean,0.0026219869032502174,diagnostics from first deterministic test batch
U-Net + FADC-SARSpatial-withVar,fadc_sar_spatial_with_var,2026,hybrid_bottleneck_test_sample,spatial_local_var_mean,8.422895916737616e-05,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_mean,0.9961581230163574,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,high_frequency_weight_std,0.0024661668576300144,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_mean,0.99872225522995,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,low_frequency_weight_std,0.00031595947802998126,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_low_gate_mean,1.4621171951293945,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,adaptive_kernel_high_gate_mean,1.4621169567108154,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,alpha_value,0.0998057872056961,diagnostics from first deterministic test batch
U-Net + FADC-SR-branch + SARSpatial-noVar,fadc_sr_branch_sar_spatial_no_var,2026,hybrid_bottleneck_test_sample,gate_mean,0.4990973472595215,diagnostics from first deterministic test batch
