method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,local_high_descriptor_mean,0.3130840063095093,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,alpha_value,0.5061072111129761,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,beta_value,0.099461629986763,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,channel_gate_mean,0.49251890182495117,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,channel_gate_std,0.26758161187171936,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,depthwise_weight_mean,0.0009929058142006397,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,123,first_test_batch,1,FADCGV2dAblation,depthwise_weight_std,0.991112470626831,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,speckle_gate_mean,0.018010426312685013,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,speckle_gate_std,0.0005198903963901103,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,suppression_ratio,0.9981791973114014,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,combined_gate_mean,0.9981791973114014,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,combined_gate_std,5.2560295443981886e-05,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,local_high_descriptor_mean,0.3108461797237396,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,alpha_value,0.4888294041156769,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,beta_value,0.10109737515449524,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,channel_gate_mean,0.340101957321167,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,channel_gate_std,0.34237539768218994,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,depthwise_weight_mean,-0.008750968612730503,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,0,FADCGV2dAblation,depthwise_weight_std,0.9944472312927246,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,boundary_gate_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,boundary_gate_std,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,speckle_gate_mean,0.01797090843319893,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,speckle_gate_std,0.00016209455498028547,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,suppression_ratio,0.9982093572616577,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,combined_gate_mean,0.9982093572616577,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,combined_gate_std,1.615177643543575e-05,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,local_high_descriptor_mean,0.32872581481933594,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,local_variance_proxy_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,multi_scale_consistency_mean,NA,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,alpha_value,0.503947377204895,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,beta_value,0.09964320063591003,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,channel_gate_mean,0.48193901777267456,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,channel_gate_std,0.281851202249527,module input diagnostics collected with forward pre-hooks
FCN + V2d-noBoundary-noLocalVar,no_boundary_no_local_var,2026,first_test_batch,1,FADCGV2dAblation,freq_init,random,module input diagnostics collected with forward pre-hooks
