method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,depthwise_weight_std,1.007887840270996,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2028,first_test_batch,1,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,alpha_value,0.48981988430023193,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,gate_mean,0.3200828433036804,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,gate_std,0.3267670273780823,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.01003446988761425,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.003261685371399,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,alpha_value,0.5074400305747986,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,gate_mean,0.4901682138442993,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,gate_std,0.28484785556793213,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,depthwise_weight_mean,0.01663680374622345,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,depthwise_weight_std,1.0024800300598145,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2029,first_test_batch,1,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5287302732467651,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,gate_mean,0.4133973717689514,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,gate_std,0.36923936009407043,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,9.129590034717694e-05,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.0039459466934204,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2027,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5345040559768677,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,gate_mean,0.39711132645606995,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,gate_std,0.37865230441093445,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.008603150025010109,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.006524920463562,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2028,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5269533395767212,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,gate_mean,0.4358859956264496,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,gate_std,0.32737788558006287,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-1.302464988839347e-05,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.0050647258758545,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2029,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
